Search Cost
1.3720931
1.5
1.7857143
1.6666666
1.6875
1.6666666
1.4210526
1.8095238
1.9444444
1.8
1.6923077
1.3333334
1.5882353
1.9230769
1.6153846
1.7
1.7142857
1.6666666
1.7272727
