Search Cost
1.4186046
1.6666666
1.6666666
1.5454545
1.7619047
1.625
1.6
1.2142857
1.3333334
1.5714285
1.5517242
1.6315789
1.76
1.4705882
1.75
1.65
2.1052632
1.8
1.8947369
